Date : 2021-06-04 23:57:47
Directory : /home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.0
Total : 782 files,  61916 codes, 26769 comments, 12868 blanks, all 101553 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| Classification/Explanations/src/main/java/org/tribuo/classification/explanations/lime                                                                                             |          6 |        812 |        374 |        170 |      1,356 |
| Classification/Explanations/src/test                                                                                                                                              |          2 |        285 |         53 |         65 |        403 |
| Classification/Explanations/src/test/java                                                                                                                                         |          2 |        285 |         53 |         65 |        403 |
| Classification/Explanations/src/test/java/org                                                                                                                                     |          2 |        285 |         53 |         65 |        403 |
| Classification/Explanations/src/test/java/org/tribuo                                                                                                                              |          2 |        285 |         53 |         65 |        403 |
| Classification/Explanations/src/test/java/org/tribuo/classification                                                                                                               |          2 |        285 |         53 |         65 |        403 |
| Classification/Explanations/src/test/java/org/tribuo/classification/explanations                                                                                                  |          2 |        285 |         53 |         65 |        403 |
| Classification/Explanations/src/test/java/org/tribuo/classification/explanations/lime                                                                                             |          2 |        285 |         53 |         65 |        403 |
| Classification/LibLinear                                                                                                                                                          |         11 |        777 |        289 |        140 |      1,206 |
| Classification/LibLinear/configs                                                                                                                                                  |          1 |         12 |         19 |          6 |         37 |
| Classification/LibLinear/src                                                                                                                                                      |          9 |        698 |        255 |        130 |      1,083 |
| Classification/LibLinear/src/main                                                                                                                                                 |          6 |        407 |        216 |         81 |        704 |
| Classification/LibLinear/src/main/java                                                                                                                                            |          6 |        407 |        216 |         81 |        704 |
| Classification/LibLinear/src/main/java/org                                                                                                                                        |          6 |        407 |        216 |         81 |        704 |
| Classification/LibLinear/src/main/java/org/tribuo                                                                                                                                 |          6 |        407 |        216 |         81 |        704 |
| Classification/LibLinear/src/main/java/org/tribuo/classification                                                                                                                  |          6 |        407 |        216 |         81 |        704 |
| Classification/LibLinear/src/main/java/org/tribuo/classification/liblinear                                                                                                        |          6 |        407 |        216 |         81 |        704 |
| Classification/LibLinear/src/test                                                                                                                                                 |          3 |        291 |         39 |         49 |        379 |
| Classification/LibLinear/src/test/java                                                                                                                                            |          1 |        234 |         23 |         38 |        295 |
| Classification/LibLinear/src/test/java/org                                                                                                                                        |          1 |        234 |         23 |         38 |        295 |
| Classification/LibLinear/src/test/java/org/tribuo                                                                                                                                 |          1 |        234 |         23 |         38 |        295 |
| Classification/LibLinear/src/test/java/org/tribuo/classification                                                                                                                  |          1 |        234 |         23 |         38 |        295 |
| Classification/LibLinear/src/test/java/org/tribuo/classification/liblinear                                                                                                        |          1 |        234 |         23 |         38 |        295 |
| Classification/LibLinear/src/test/scripts                                                                                                                                         |          2 |         57 |         16 |         11 |         84 |
| Classification/LibSVM                                                                                                                                                             |         11 |        699 |        242 |        114 |      1,055 |
| Classification/LibSVM/configs                                                                                                                                                     |          1 |         16 |         19 |          6 |         41 |
| Classification/LibSVM/src                                                                                                                                                         |          9 |        615 |        208 |        106 |        929 |
| Classification/LibSVM/src/main                                                                                                                                                    |          6 |        321 |        170 |         58 |        549 |
| Classification/LibSVM/src/main/java                                                                                                                                               |          6 |        321 |        170 |         58 |        549 |
| Classification/LibSVM/src/main/java/org                                                                                                                                           |          6 |        321 |        170 |         58 |        549 |
| Classification/LibSVM/src/main/java/org/tribuo                                                                                                                                    |          6 |        321 |        170 |         58 |        549 |
| Classification/LibSVM/src/main/java/org/tribuo/classification                                                                                                                     |          6 |        321 |        170 |         58 |        549 |
| Classification/LibSVM/src/main/java/org/tribuo/classification/libsvm                                                                                                              |          6 |        321 |        170 |         58 |        549 |
| Classification/LibSVM/src/test                                                                                                                                                    |          3 |        294 |         38 |         48 |        380 |
| Classification/LibSVM/src/test/java                                                                                                                                               |          1 |        236 |         22 |         36 |        294 |
| Classification/LibSVM/src/test/java/org                                                                                                                                           |          1 |        236 |         22 |         36 |        294 |
| Classification/LibSVM/src/test/java/org/tribuo                                                                                                                                    |          1 |        236 |         22 |         36 |        294 |
| Classification/LibSVM/src/test/java/org/tribuo/classification                                                                                                                     |          1 |        236 |         22 |         36 |        294 |
| Classification/LibSVM/src/test/java/org/tribuo/classification/libsvm                                                                                                              |          1 |        236 |         22 |         36 |        294 |
| Classification/LibSVM/src/test/scripts                                                                                                                                            |          2 |         58 |         16 |         12 |         86 |
| Classification/MultinomialNaiveBayes                                                                                                                                              |          8 |        379 |        165 |         77 |        621 |
| Classification/MultinomialNaiveBayes/configs                                                                                                                                      |          1 |          6 |         19 |          4 |         29 |
| Classification/MultinomialNaiveBayes/src                                                                                                                                          |          6 |        305 |        131 |         69 |        505 |
| Classification/MultinomialNaiveBayes/src/main                                                                                                                                     |          5 |        233 |        116 |         54 |        403 |
| Classification/MultinomialNaiveBayes/src/main/java                                                                                                                                |          5 |        233 |        116 |         54 |        403 |
| Classification/MultinomialNaiveBayes/src/main/java/org                                                                                                                            |          5 |        233 |        116 |         54 |        403 |
| Classification/MultinomialNaiveBayes/src/main/java/org/tribuo                                                                                                                     |          5 |        233 |        116 |         54 |        403 |
| Classification/MultinomialNaiveBayes/src/main/java/org/tribuo/classification                                                                                                      |          5 |        233 |        116 |         54 |        403 |
| Classification/MultinomialNaiveBayes/src/main/java/org/tribuo/classification/mnb                                                                                                  |          5 |        233 |        116 |         54 |        403 |
| Classification/MultinomialNaiveBayes/src/test                                                                                                                                     |          1 |         72 |         15 |         15 |        102 |
| Classification/MultinomialNaiveBayes/src/test/java                                                                                                                                |          1 |         72 |         15 |         15 |        102 |
| Classification/MultinomialNaiveBayes/src/test/java/org                                                                                                                            |          1 |         72 |         15 |         15 |        102 |
| Classification/MultinomialNaiveBayes/src/test/java/org/tribuo                                                                                                                     |          1 |         72 |         15 |         15 |        102 |
| Classification/MultinomialNaiveBayes/src/test/java/org/tribuo/classification                                                                                                      |          1 |         72 |         15 |         15 |        102 |
| Classification/MultinomialNaiveBayes/src/test/java/org/tribuo/classification/mnb                                                                                                  |          1 |         72 |         15 |         15 |        102 |
| Classification/SGD                                                                                                                                                                |         31 |      2,117 |      1,036 |        399 |      3,552 |
| Classification/SGD/configs                                                                                                                                                        |          2 |         37 |         38 |         14 |         89 |
| Classification/SGD/src                                                                                                                                                            |         28 |      2,004 |        983 |        381 |      3,368 |
| Classification/SGD/src/main                                                                                                                                                       |         25 |      1,806 |        937 |        339 |      3,082 |
| Classification/SGD/src/main/java                                                                                                                                                  |         25 |      1,806 |        937 |        339 |      3,082 |
| Classification/SGD/src/main/java/org                                                                                                                                              |         25 |      1,806 |        937 |        339 |      3,082 |
| Classification/SGD/src/main/java/org/tribuo                                                                                                                                       |         25 |      1,806 |        937 |        339 |      3,082 |
| Classification/SGD/src/main/java/org/tribuo/classification                                                                                                                        |         25 |      1,806 |        937 |        339 |      3,082 |
| Classification/SGD/src/main/java/org/tribuo/classification/sgd                                                                                                                    |         25 |      1,806 |        937 |        339 |      3,082 |
| Classification/SGD/src/main/java/org/tribuo/classification/sgd/crf                                                                                                                |          8 |        885 |        381 |        154 |      1,420 |
| Classification/SGD/src/main/java/org/tribuo/classification/sgd/kernel                                                                                                             |          5 |        319 |        154 |         62 |        535 |
| Classification/SGD/src/main/java/org/tribuo/classification/sgd/linear                                                                                                             |          5 |        342 |        156 |         69 |        567 |
| Classification/SGD/src/main/java/org/tribuo/classification/sgd/objectives                                                                                                         |          3 |         97 |         92 |         24 |        213 |
| Classification/SGD/src/test                                                                                                                                                       |          3 |        198 |         46 |         42 |        286 |
| Classification/SGD/src/test/java                                                                                                                                                  |          3 |        198 |         46 |         42 |        286 |
| Classification/SGD/src/test/java/org                                                                                                                                              |          3 |        198 |         46 |         42 |        286 |
| Classification/SGD/src/test/java/org/tribuo                                                                                                                                       |          3 |        198 |         46 |         42 |        286 |
| Classification/SGD/src/test/java/org/tribuo/classification                                                                                                                        |          3 |        198 |         46 |         42 |        286 |
| Classification/SGD/src/test/java/org/tribuo/classification/sgd                                                                                                                    |          3 |        198 |         46 |         42 |        286 |
| Classification/SGD/src/test/java/org/tribuo/classification/sgd/crf                                                                                                                |          1 |         46 |         15 |         12 |         73 |
| Classification/SGD/src/test/java/org/tribuo/classification/sgd/kernel                                                                                                             |          1 |         68 |         15 |         15 |         98 |
| Classification/SGD/src/test/java/org/tribuo/classification/sgd/linear                                                                                                             |          1 |         84 |         16 |         15 |        115 |
| Classification/XGBoost                                                                                                                                                            |         11 |        575 |        232 |        104 |        911 |
| Classification/XGBoost/configs                                                                                                                                                    |          1 |         13 |         19 |          4 |         36 |
| Classification/XGBoost/src                                                                                                                                                        |          9 |        489 |        198 |         97 |        784 |
| Classification/XGBoost/src/main                                                                                                                                                   |          5 |        199 |        142 |         46 |        387 |
| Classification/XGBoost/src/main/java                                                                                                                                              |          5 |        199 |        142 |         46 |        387 |
| Classification/XGBoost/src/main/java/org                                                                                                                                          |          5 |        199 |        142 |         46 |        387 |
| Classification/XGBoost/src/main/java/org/tribuo                                                                                                                                   |          5 |        199 |        142 |         46 |        387 |
| Classification/XGBoost/src/main/java/org/tribuo/classification                                                                                                                    |          5 |        199 |        142 |         46 |        387 |
