	QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI
16	org.tribuo.ImmutableFeatureMap	ImmutableFeatureMap	low	low	low	low	1.0	4.0	0.0	1.0	5.0	4.0	48.0	10.0	1.0	1.0	4.0	0.0	1.0	0.0	0.5	1.0	0.0	0.25
17	org.tribuo.ImmutableOutputInfo<T>	ImmutableOutputInfo	low	low	low	low	0.0	3.0	0.0	1.0	7.0	3.0	4.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.444	0.0	0.0	0.0
18	org.tribuo.IncrementalTrainer<T,U>	IncrementalTrainer	low	low	low	low	1.0	1.0	0.0	1.0	0.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19	org.tribuo.Model<T>	Model	low	low	low-medium	low	5.0	6.0	0.0	0.0	17.0	6.0	68.0	14.0	4.0	1.0	6.0	0.0	0.0	1.0	0.417	0.933	0.0	0.0
20	org.tribuo.ModelExplorer	ModelExplorer	low	low	low-medium	low	5.0	4.0	1.0	0.0	0.0	3.0	74.0	11.0	2.0	0.0	3.0	0.0	0.0	1.0	0.0	0.667	0.0	0.0
21	org.tribuo.MutableDataset<T>	MutableDataset	low-medium	medium-high	low-medium	medium-high	12.0	31.0	17.0	1.0	0.0	24.0	95.0	63.0	3.0	1.0	12.0	1.0	0.0	0.727	0.791	0.603	2.0	0.0
22	org.tribuo.MutableFeatureMap	MutableFeatureMap	low	low	low	low	1.0	4.0	0.0	1.0	0.0	4.0	20.0	10.0	1.0	1.0	4.0	0.0	0.0	0.0	0.5	1.0	0.0	0.0
23	org.tribuo.MutableOutputInfo<T>	MutableOutputInfo	low	low	low	low	0.0	2.0	0.0	1.0	7.0	2.0	3.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0
24	org.tribuo.Output<T>	Output	low	low	low	low	0.0	2.0	0.0	1.0	6.0	3.0	4.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0
25	org.tribuo.OutputFactory<T>	OutputFactory	low	low	low	low	2.0	4.0	0.0	1.0	7.0	7.0	21.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.375	0.0	0.0	0.0
26	org.tribuo.OutputInfo<T>	OutputInfo	low	low	low	low	2.0	5.0	0.0	1.0	8.0	8.0	9.0	5.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	org.tribuo.Prediction<T>	Prediction	low	low	low-medium	low-medium	2.0	9.0	1.0	0.0	0.0	12.0	55.0	24.0	5.0	1.0	8.0	0.0	0.0	0.967	0.625	0.929	0.0	0.0
28	org.tribuo.RealIDInfo	RealIDInfo	low-medium	low	low	low	1.0	4.0	0.0	2.0	0.0	4.0	27.0	12.0	1.0	1.0	4.0	0.0	3.0	1.0	0.417	0.833	0.0	1.5
29	org.tribuo.RealInfo	RealInfo	low	low	low-medium	low-medium	1.0	9.0	1.0	1.0	1.0	11.0	59.0	28.0	4.0	1.0	8.0	0.0	0.0	0.85	0.656	1.0	0.0	0.0
30	org.tribuo.SkeletalVariableInfo	SkeletalVariableInfo	low	low	low	low	0.0	3.0	0.0	0.0	2.0	3.0	36.0	10.0	1.0	1.0	3.0	0.0	0.0	1.0	0.333	1.0	0.0	0.0
31	org.tribuo.SparseModel<T>	SparseModel	low	low	low	low	0.0	2.0	1.0	1.0	2.0	1.0	16.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	org.tribuo.SparseTrainer<T>	SparseTrainer	low	low	low	low	2.0	1.0	0.0	1.0	4.0	2.0	6.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33	org.tribuo.Trainer<T>	Trainer	low	low	low	low	2.0	2.0	0.0	1.0	19.0	3.0	6.0	2.0	0.0	1.0	2.0	0.0	0.0	0.0	0.25	1.0	0.0	0.0
34	org.tribuo.Tribuo	Tribuo	low	low	low	low	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35	org.tribuo.VariableIDInfo	VariableIDInfo	low	low	low	low	0.0	1.0	0.0	1.0	2.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36	org.tribuo.VariableInfo	VariableInfo	low	low	low	low	1.0	3.0	0.0	1.0	2.0	6.0	7.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.333	0.0	0.0	0.0
37	org.tribuo.VersionTest	VersionTest	low	low	low	low	1.0	2.0	1.0	0.0	0.0	1.0	9.0	8.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38	org.tribuo.WeightedExamples	WeightedExamples	low	low	low	low	0.0	0.0	0.0	1.0	7.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39	<Package>org.tribuo.anomaly	org.tribuo.anomaly	low	low	low-medium	low						51.0	219.0											
40	org.tribuo.anomaly.AnomalyFactory	AnomalyFactory	low	low-medium	low	low	7.0	5.0	0.0	0.0	0.0	6.0	50.0	18.0	0.0	5.0	5.0	0.0	0.0	1.1	0.4	1.0	0.0	0.0
41	org.tribuo.anomaly.AnomalyInfo	AnomalyInfo	low	low	low-medium	low	5.0	10.0	0.0	0.0	2.0	13.0	59.0	33.0	3.0	1.0	10.0	0.0	0.0	0.688	0.6	0.893	0.0	0.0
42	org.tribuo.anomaly.Event	Event	low	low	low-medium	low-medium	0.0	7.0	0.0	0.0	0.0	13.0	53.0	21.0	2.0	2.0	7.0	0.0	0.0	0.75	0.607	0.381	0.0	0.0
43	org.tribuo.anomaly.ImmutableAnomalyInfo	ImmutableAnomalyInfo	low	low	low	low	3.0	7.0	2.0	1.0	0.0	7.0	29.0	20.0	0.0	1.0	5.0	0.0	0.0	0.0	0.6	0.0	1.0	0.0
44	org.tribuo.anomaly.MutableAnomalyInfo	MutableAnomalyInfo	low	low	low	low	3.0	6.0	1.0	1.0	0.0	8.0	28.0	26.0	0.0	1.0	5.0	0.0	0.0	0.0	0.533	0.0	1.0	0.0
45	<Package>org.tribuo.anomaly.evaluation	org.tribuo.anomaly.evaluation	low	low	low-medium	low						25.0	191.0											
46	org.tribuo.anomaly.evaluation.AnomalyEvaluation	AnomalyEvaluation	low	low	low	low	0.0	7.0	0.0	1.0	1.0	8.0	9.0	7.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47	org.tribuo.anomaly.evaluation.AnomalyEvaluationImpl	AnomalyEvaluationImpl	low	low	low-medium	low	5.0	13.0	4.0	0.0	0.0	9.0	71.0	27.0	2.0	0.0	9.0	0.0	0.0	0.0	0.444	1.0	0.0	0.0
48	org.tribuo.anomaly.evaluation.AnomalyEvaluator	AnomalyEvaluator	low	low	low	low	0.0	0.0	0.0	1.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
49	org.tribuo.anomaly.evaluation.AnomalyMetric	AnomalyMetric	low	low	low-medium	low	1.0	2.0	0.0	0.0	0.0	2.0	76.0	6.0	1.0	0.0	2.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0
50	org.tribuo.anomaly.evaluation.AnomalyMetrics	AnomalyMetrics	low	low	low	low	1.0	1.0	0.0	0.0	0.0	1.0	15.0	2.0	1.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51	<Package>org.tribuo.anomaly.example	org.tribuo.anomaly.example	low	low	low	low						14.0	137.0											
52	org.tribuo.anomaly.example.AnomalyDataGenerator	AnomalyDataGenerator	low	low-medium	low-medium	low	7.0	16.0	4.0	0.0	0.0	14.0	137.0	127.0	0.0	1.0	0.0	8.0	0.0	0.0	0.5	0.893	0.0	0.0
53	<Package>org.tribuo.anomaly.liblinear	org.tribuo.anomaly.liblinear	low	low	low	low						26.0	165.0											
54	org.tribuo.anomaly.liblinear.LibLinearAnomalyModel	LibLinearAnomalyModel	low-medium	medium-high	low-medium	low	10.0	5.0	3.0	2.0	0.0	7.0	71.0	36.0	0.0	1.0	3.0	0.0	0.0	0.0	0.333	0.0	2.0	0.0
55	org.tribuo.anomaly.liblinear.LibLinearAnomalyTrainer	LibLinearAnomalyTrainer	low	low-medium	low	low-medium	10.0	15.0	6.0	1.0	0.0	9.0	46.0	29.0	1.0	0.0	7.0	0.0	0.0	0.0	0.653	1.0	1.0	0.0
56	org.tribuo.anomaly.liblinear.LibLinearAnomalyTrainerTest	LibLinearAnomalyTrainerTest	low	low-medium	low	low	9.0	15.0	10.0	0.0	0.0	1.0	19.0	17.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57	org.tribuo.anomaly.liblinear.LinearAnomalyType	LinearAnomalyType	low	low	low	low	2.0	8.0	1.0	0.0	0.0	7.0	29.0	18.0	1.0	1.0	7.0	0.0	0.0	1.0	0.429	0.933	1.0	0.0
58	<Package>org.tribuo.anomaly.libsvm	org.tribuo.anomaly.libsvm	low	low	low	low						22.0	117.0											
59	org.tribuo.anomaly.libsvm.LibSVMAnomalyModel	LibSVMAnomalyModel	low-medium	low-medium	low	low	6.0	3.0	1.0	2.0	0.0	4.0	20.0	13.0	0.0	1.0	2.0	0.0	0.0	0.0	0.25	0.0	1.0	0.0
60	org.tribuo.anomaly.libsvm.LibSVMAnomalyTrainer	LibSVMAnomalyTrainer	low	low-medium	low	low-medium	10.0	12.0	6.0	1.0	0.0	8.0	47.0	24.0	0.0	0.0	5.0	0.0	0.0	0.0	0.667	0.0	2.0	0.0
61	org.tribuo.anomaly.libsvm.LibSVMAnomalyTrainerTest	LibSVMAnomalyTrainerTest	low	medium-high	low	low	11.0	18.0	12.0	0.0	0.0	1.0	20.0	18.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
62	org.tribuo.anomaly.libsvm.SVMAnomalyType	SVMAnomalyType	low	low	low	low	1.0	8.0	0.0	0.0	0.0	8.0	30.0	21.0	1.0	1.0	8.0	0.0	0.0	1.0	0.437	0.952	0.0	0.0
63	<Package>org.tribuo.classification	org.tribuo.classification	low	low-medium	medium-high	low						62.0	461.0											
64	org.tribuo.classification.Classifiable<T>	Classifiable	low	low	low	low	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
65	org.tribuo.classification.ClassificationOptions<TRAINER>	ClassificationOptions	low	low	low	low	0.0	1.0	0.0	1.0	9.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
66	org.tribuo.classification.ImmutableLabelInfo	ImmutableLabelInfo	low	low	low-medium	low-medium	2.0	8.0	1.0	1.0	0.0	11.0	97.0	44.0	0.0	1.0	7.0	0.0	1.0	0.0	0.657	0.0	0.0	143.0
67	org.tribuo.classification.Label	Label	low	low	low	low	0.0	4.0	0.0	0.0	0.0	10.0	46.0	16.0	1.0	1.0	4.0	0.0	0.0	0.75	0.375	0.5	0.0	0.0
68	org.tribuo.classification.LabelFactory	LabelFactory	low	low-medium	low	low	6.0	7.0	0.0	0.0	0.0	7.0	50.0	19.0	0.0	4.0	7.0	0.0	0.0	1.125	0.429	1.0	0.0	0.0
69	org.tribuo.classification.LabelInfo	LabelInfo	low	low-medium	low-medium	low	6.0	9.0	1.0	0.0	2.0	9.0	58.0	27.0	1.0	1.0	8.0	0.0	0.0	0.0	0.583	1.0	0.0	0.0
70	org.tribuo.classification.MutableLabelInfo	MutableLabelInfo	low	low	low	low	3.0	6.0	1.0	1.0	0.0	6.0	36.0	19.0	0.0	1.0	5.0	0.0	0.0	0.0	0.533	0.0	0.0	0.0
71	org.tribuo.classification.TestLabelEvaluationUtil	TestLabelEvaluationUtil	low	low	low-medium	low	5.0	19.0	8.0	0.0	0.0	7.0	123.0	121.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.333	0.0	0.0
72	org.tribuo.classification.TrainTestHelper	TrainTestHelper	low	medium-high	low	low	11.0	25.0	13.0	0.0	0.0	6.0	31.0	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.375	0.0	1.0	0.0
73	org.tribuo.classification.Utils	Utils	low	low	low	low	1.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
74	org.tribuo.classification.WeightedLabels	WeightedLabels	low	low	low	low	0.0	0.0	0.0	1.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
75	<Package>org.tribuo.classification.baseline	org.tribuo.classification.baseline	low	low	low	low						30.0	186.0											
76	org.tribuo.classification.baseline.DummyClassifierModel	DummyClassifierModel	low	medium-high	low-medium	low	12.0	15.0	9.0	1.0	0.0	15.0	86.0	55.0	4.0	1.0	4.0	3.0	0.0	0.333	0.589	0.0	0.0	0.0
77	org.tribuo.classification.baseline.DummyClassifierTrainer	DummyClassifierTrainer	low	low	low-medium	low	2.0	7.0	0.0	0.0	0.0	9.0	75.0	25.0	3.0	0.0	4.0	3.0	0.0	0.667	0.357	0.6	0.0	0.0
78	org.tribuo.classification.baseline.TestDummyClassifier	TestDummyClassifier	low	low-medium	low	low	7.0	22.0	8.0	0.0	0.0	6.0	25.0	19.0	0.0	4.0	3.0	1.0	0.0	0.0	0.5	1.0	0.0	0.0
79	<Package>org.tribuo.classification.dtree	org.tribuo.classification.dtree	low	low	low-medium	low						43.0	319.0											
80	org.tribuo.classification.dtree.CARTClassificationOptions	CARTClassificationOptions	low	low	low	low	4.0	1.0	0.0	0.0	0.0	4.0	48.0	21.0	9.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81	org.tribuo.classification.dtree.CARTClassificationTrainer	CARTClassificationTrainer	low	low-medium	low-medium	low	9.0	9.0	1.0	1.0	0.0	8.0	59.0	37.0	1.0	0.0	8.0	0.0	0.0	0.0	0.578	0.857	0.0	0.0
82	org.tribuo.classification.dtree.TestCART	TestCART	low	medium-high	low-medium	low	12.0	45.0	20.0	0.0	0.0	19.0	82.0	78.0	0.0	2.0	15.0	4.0	0.0	0.545	0.526	0.825	1.0	0.0
83	org.tribuo.classification.dtree.TestClassificationEnsembles	TestClassificationEnsembles	low	medium-high	low-medium	low	16.0	38.0	18.0	0.0	0.0	12.0	113.0	102.0	0.0	7.0	11.0	1.0	0.0	0.964	0.528	0.939	1.0	0.0
84	org.tribuo.classification.dtree.TrainTest	TrainTest	low	low	low	low	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85	<Package>org.tribuo.classification.dtree.impl	org.tribuo.classification.dtree.impl	low	low	low-medium	low						54.0	464.0											
86	org.tribuo.classification.dtree.impl.ClassifierTrainingNode	ClassifierTrainingNode	low	low-medium	low-medium	low-medium	9.0	13.0	8.0	1.0	0.0	8.0	242.0	29.0	5.0	1.0	5.0	0.0	0.0	1.167	0.667	1.0	0.0	0.0
87	org.tribuo.classification.dtree.impl.InvertedFeature	InvertedFeature	low-medium	low	low-medium	low-medium	2.0	11.0	2.0	0.0	0.0	33.0	152.0	123.0	8.0	1.0	11.0	0.0	0.0	0.611	0.682	0.333	0.0	0.0
88	org.tribuo.classification.dtree.impl.TreeFeature	TreeFeature	low	low	low-medium	low-medium	4.0	15.0	7.0	0.0	0.0	13.0	70.0	47.0	5.0	0.0	6.0	0.0	0.0	0.6	0.633	0.5	1.0	0.0
89	<Package>org.tribuo.classification.dtree.impurity	org.tribuo.classification.dtree.impurity	low	low	low	low						14.0	84.0											
90	org.tribuo.classification.dtree.impurity.Entropy	Entropy	low	low	low	low	1.0	2.0	0.0	0.0	0.0	4.0	15.0	11.0	0.0	0.0	2.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0
91	org.tribuo.classification.dtree.impurity.GiniIndex	GiniIndex	low	low	low	low	1.0	2.0	0.0	0.0	0.0	3.0	14.0	10.0	0.0	0.0	2.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0
92	org.tribuo.classification.dtree.impurity.LabelImpurity	LabelImpurity	low	low	low-medium	low	0.0	6.0	1.0	1.0	2.0	7.0	55.0	6.0	0.0	0.0	6.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0
93	<Package>org.tribuo.classification.ensemble	org.tribuo.classification.ensemble	low	low	low-medium	low						23.0	353.0											
94	org.tribuo.classification.ensemble.AdaBoostTrainer	AdaBoostTrainer	low	low	low-medium	low	2.0	6.0	1.0	0.0	0.0	6.0	107.0	17.0	4.0	0.0	6.0	0.0	0.0	0.875	0.542	0.9	0.0	0.0
95	org.tribuo.classification.ensemble.ClassificationEnsembleOptions	ClassificationEnsembleOptions	low	low-medium	low	low	6.0	1.0	0.0	0.0	0.0	9.0	38.0	25.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96	org.tribuo.classification.ensemble.FullyWeightedVotingCombiner	FullyWeightedVotingCombiner	low	low	low-medium	low	1.0	2.0	0.0	0.0	0.0	2.0	62.0	4.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
97	org.tribuo.classification.ensemble.VotingCombiner	VotingCombiner	low	low	low-medium	low	1.0	2.0	0.0	0.0	0.0	2.0	56.0	4.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
98	org.tribuo.classification.ensemble.VotingCombinerTest	VotingCombinerTest	low	medium-high	low-medium	low	15.0	12.0	9.0	0.0	0.0	4.0	90.0	77.0	0.0	12.0	2.0	2.0	0.0	0.806	0.0	0.0	2.0	0.0
99	<Package>org.tribuo.classification.evaluation	org.tribuo.classification.evaluation	low	medium-high	medium-high	low						177.0	1153.0											
100	org.tribuo.classification.evaluation.ClassifierEvaluation<T>	ClassifierEvaluation	low-medium	low	low-medium	low	1.0	24.0	0.0	1.0	2.0	24.0	25.0	24.0	0.0	0.0	24.0	0.0	0.0	0.0	0.333	0.0	0.0	0.0
101	org.tribuo.classification.evaluation.ConfusionMatrix<T>	ConfusionMatrix	low	low	low	low	1.0	12.0	1.0	1.0	2.0	13.0	22.0	12.0	0.0	0.0	12.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0
102	org.tribuo.classification.evaluation.ConfusionMetrics	ConfusionMetrics	low-medium	low	low-medium	low-medium	4.0	29.0	13.0	0.0	0.0	33.0	106.0	75.0	0.0	0.0	1.0	21.0	0.0	0.0	0.63	0.0	0.0	0.0
103	org.tribuo.classification.evaluation.ConfusionMetricsTest	ConfusionMetricsTest	low	low	low	low	5.0	11.0	4.0	0.0	0.0	1.0	17.0	16.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
104	org.tribuo.classification.evaluation.EvaluationAggregationTests	EvaluationAggregationTests	low	medium-high	low-medium	low	16.0	36.0	19.0	0.0	0.0	10.0	152.0	144.0	0.0	1.0	3.0	5.0	0.0	0.0	0.0	0.25	1.0	0.0
105	org.tribuo.classification.evaluation.LabelConfusionMatrix	LabelConfusionMatrix	low	low	low-medium	low	3.0	12.0	4.0	0.0	0.0	14.0	131.0	41.0	3.0	0.0	9.0	0.0	0.0	0.833	0.111	0.964	0.0	0.0
106	org.tribuo.classification.evaluation.LabelConfusionMatrixTest	LabelConfusionMatrixTest	low	low	low	low	4.0	13.0	8.0	0.0	0.0	1.0	38.0	37.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
107	org.tribuo.classification.evaluation.LabelEvaluation	LabelEvaluation	low	low	low-medium	low	2.0	6.0	0.0	1.0	1.0	9.0	105.0	6.0	0.0	0.0	6.0	0.0	0.0	0.0	0.389	0.0	0.0	0.0
108	org.tribuo.classification.evaluation.LabelEvaluationImpl	LabelEvaluationImpl	low-medium	low-medium	medium-high	medium-high	10.0	41.0	8.0	0.0	0.0	39.0	138.0	115.0	4.0	0.0	34.0	0.0	0.0	0.833	0.74	0.987	0.0	0.0
109	org.tribuo.classification.evaluation.LabelEvaluationUtil	LabelEvaluationUtil	low	low	low-medium	low	2.0	11.0	7.0	0.0	0.0	17.0	98.0	71.0	0.0	0.0	1.0	5.0	0.0	0.0	0.111	0.0	0.0	0.0
110	org.tribuo.classification.evaluation.LabelEvaluator	LabelEvaluator	low	low	low	low	0.0	0.0	0.0	1.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
111	org.tribuo.classification.evaluation.LabelEvaluatorTest	LabelEvaluatorTest	low	low-medium	low-medium	low	8.0	24.0	19.0	0.0	0.0	5.0	162.0	161.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
112	org.tribuo.classification.evaluation.LabelMetric	LabelMetric	low	low	low	low	1.0	3.0	0.0	0.0	0.0	3.0	48.0	9.0	1.0	0.0	3.0	0.0	0.0	0.0	0.333	0.0	0.0	0.0
113	org.tribuo.classification.evaluation.LabelMetrics	LabelMetrics	low	low	low-medium	low	2.0	1.0	0.0	0.0	0.0	1.0	55.0	2.0	0.0	11.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
114	org.tribuo.classification.evaluation.TestUtils	TestUtils	low	low	low	low	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
115	<Package>org.tribuo.classification.example	org.tribuo.classification.example	low	low	low	low						9.0	160.0											
116	org.tribuo.classification.example.LabelledDataGenerator	LabelledDataGenerator	low	low-medium	low-medium	low	8.0	17.0	4.0	0.0	0.0	9.0	160.0	158.0	0.0	1.0	1.0	8.0	0.0	0.0	0.333	0.893	0.0	0.0
117	<Package>org.tribuo.classification.experiments	org.tribuo.classification.experiments	low	low	low-medium	low						23.0	364.0											
118	org.tribuo.classification.experiments.AllTrainerOptions	AllTrainerOptions	low	medium-high	low-medium	low	12.0	20.0	10.0	0.0	0.0	13.0	66.0	43.0	11.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
119	org.tribuo.classification.experiments.ConfigurableTrainTest	ConfigurableTrainTest	low	low	low-medium	low	0.0	0.0	0.0	0.0	0.0	0.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
120	org.tribuo.classification.experiments.RunAll	RunAll	low	low	low-medium	low	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
121	org.tribuo.classification.experiments.Test	Test	low	medium-high	low-medium	low	15.0	13.0	5.0	0.0	0.0	10.0	128.0	52.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
122	org.tribuo.classification.experiments.TrainTest	TrainTest	low	low	low	low	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
123	<Package>org.tribuo.classification.explanations	org.tribuo.classification.explanations	low	low	low	low						6.0	10.0											
124	org.tribuo.classification.explanations.ColumnarExplainer<T>	ColumnarExplainer	low	low	low	low	0.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
125	org.tribuo.classification.explanations.Explanation<T>	Explanation	low	low	low	low	2.0	2.0	0.0	1.0	1.0	3.0	4.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
126	org.tribuo.classification.explanations.TabularExplainer<T>	TabularExplainer	low	low	low	low	2.0	1.0	0.0	1.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
127	org.tribuo.classification.explanations.TextExplainer<T>	TextExplainer	low	low	low	low	0.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
